# Table #1: Deprecated LIDs.
# Feel free to add other tables, but fix bundle.xml
#
# Table of Deprecated LIDs (some secretly changed up to 2020.02.13, soho.lasco)
# 2019.11.18 instID.scID -> scID.instID for p8, p9
# 2020.06.17 grav.jno -> jno.rss, which should probably be rss.jno for consistency. oh well
# 2020.07.23 + -> _ for a few stars; validate had incorrectly allowed +
# 2021.02.24 instID.scID -> scID.instID for instruments with no known lid_references
# 2021.02.24 urn:nasa:pds -> urn:esa:psa for ESA's stuff
# 2021.06.21 instrument:grs.ody -> instrument:ody.grs and .hend and .ns
#deprecatedLID,dateOfReplacement,replacementLID
urn:nasa:pds:context:instrument:mvic.nh	2021-02-24	urn:nasa:pds:context:instrument:nh.mvic
urn:nasa:pds:context:instrument:navcam.ro	2021-02-24	urn:esa:psa:context:instrument:ro.navcam
urn:nasa:pds:context:instrument:navcam.sdu	2021-02-24	urn:nasa:pds:context:instrument:sdu.navcam
urn:nasa:pds:context:instrument:nep.gp	2021-02-24	urn:nasa:pds:context:instrument:gp.nep
urn:nasa:pds:context:instrument:nfr.gp	2021-02-24	urn:nasa:pds:context:instrument:gp.nfr
urn:nasa:pds:context:instrument:ngims.con	2021-02-24	urn:nasa:pds:context:instrument:con.ngims
urn:nasa:pds:context:instrument:nims.go	2021-02-24	urn:nasa:pds:context:instrument:go.nims
urn:nasa:pds:context:instrument:nir.clem1	2021-02-24	urn:nasa:pds:context:instrument:clem1.nir
urn:nasa:pds:context:instrument:omega.mex	2021-02-24	urn:esa:psa:context:instrument:mex.omega
urn:nasa:pds:context:instrument:ope.gio	2021-02-24	urn:esa:psa:context:instrument:gio.ope
urn:nasa:pds:context:instrument:osinac.ro	2021-02-24	urn:esa:psa:context:instrument:ro.osinac
urn:nasa:pds:context:instrument:osiwac.ro	2021-02-24	urn:esa:psa:context:instrument:ro.osiwac
urn:nasa:pds:context:instrument:pepe.ds1	2021-02-24	urn:nasa:pds:context:instrument:ds1.pepe
urn:nasa:pds:context:instrument:pepssi.nh	2021-02-24	urn:nasa:pds:context:instrument:nh.pepssi
urn:nasa:pds:context:instrument:pfs.mex	2021-02-24	urn:esa:psa:context:instrument:mex.pfs
urn:nasa:pds:context:instrument:pia.gio	2021-02-24	urn:esa:psa:context:instrument:gio.pia
urn:nasa:pds:context:instrument:plawav.ice	2021-02-24	urn:nasa:pds:context:instrument:ice.plawav
urn:nasa:pds:context:instrument:pls.go	2021-02-24	urn:nasa:pds:context:instrument:go.pls
urn:nasa:pds:context:instrument:pls.m10	2021-02-24	urn:nasa:pds:context:instrument:m10.pls
urn:nasa:pds:context:instrument:pls.vg1	2021-02-24	urn:nasa:pds:context:instrument:vg1.pls
urn:nasa:pds:context:instrument:pls.vg2	2021-02-24	urn:nasa:pds:context:instrument:vg2.pls
urn:nasa:pds:context:instrument:pm1.vega1	2021-02-24	urn:nasa:pds:context:instrument:vega1.pm1
urn:nasa:pds:context:instrument:pm1.vega2	2021-02-24	urn:nasa:pds:context:instrument:vega2.pm1
urn:nasa:pds:context:instrument:ppr.go	2021-02-24	urn:nasa:pds:context:instrument:go.ppr
urn:nasa:pds:context:instrument:pps.vg2	2021-02-24	urn:nasa:pds:context:instrument:vg2.pps
urn:nasa:pds:context:instrument:pra.vg1	2021-02-24	urn:nasa:pds:context:instrument:vg1.pra
urn:nasa:pds:context:instrument:pra.vg2	2021-02-24	urn:nasa:pds:context:instrument:vg2.pra
urn:nasa:pds:context:instrument:puma.vega1	2021-02-24	urn:nasa:pds:context:instrument:vega1.puma
urn:nasa:pds:context:instrument:puma.vega2	2021-02-24	urn:nasa:pds:context:instrument:vega2.puma
urn:nasa:pds:context:instrument:pws.go	2021-02-24	urn:nasa:pds:context:instrument:go.pws
urn:nasa:pds:context:instrument:pws.vg1	2021-02-24	urn:nasa:pds:context:instrument:vg1.pws
urn:nasa:pds:context:instrument:pws.vg2	2021-02-24	urn:nasa:pds:context:instrument:vg2.pws
urn:nasa:pds:context:instrument:radwav.ice	2021-02-24	urn:nasa:pds:context:instrument:ice.radwav
urn:nasa:pds:context:instrument:rclt.mpfr	2021-02-24	urn:nasa:pds:context:instrument:mpfr.rclt
urn:nasa:pds:context:instrument:rcrr.mpfr	2021-02-24	urn:nasa:pds:context:instrument:mpfr.rcrr
urn:nasa:pds:context:instrument:rcrt.mpfr	2021-02-24	urn:nasa:pds:context:instrument:mpfr.rcrt
urn:nasa:pds:context:instrument:roe.v15	2021-02-24	urn:nasa:pds:context:instrument:v15.roe
urn:nasa:pds:context:instrument:roe.v16	2021-02-24	urn:nasa:pds:context:instrument:v16.roe
urn:nasa:pds:context:instrument:rosina.ro	2021-02-24	urn:esa:psa:context:instrument:ro.rosina
urn:nasa:pds:context:instrument:rpcica.ro	2021-02-24	urn:esa:psa:context:instrument:ro.rpcica
urn:nasa:pds:context:instrument:rpcies.ro	2021-02-24	urn:esa:psa:context:instrument:ro.rpcies
urn:nasa:pds:context:instrument:rpclap.ro	2021-02-24	urn:esa:psa:context:instrument:ro.rpclap
urn:nasa:pds:context:instrument:rpcmag.ro	2021-02-24	urn:esa:psa:context:instrument:ro.rpcmag
urn:nasa:pds:context:instrument:rsi.ro	2021-02-24	urn:esa:psa:context:instrument:ro.rsi
urn:nasa:pds:context:instrument:rss-vg1s.vg1	2021-02-24	urn:nasa:pds:context:instrument:vg1.rss
urn:nasa:pds:context:instrument:rss-vg2s.vg2	2021-02-24	urn:nasa:pds:context:instrument:vg2.rss
urn:nasa:pds:context:instrument:rss-vg2u.vg2	2021-02-24	urn:nasa:pds:context:instrument:vg2.rss
urn:nasa:pds:context:instrument:rss.clem1	2021-02-24	urn:nasa:pds:context:instrument:clem1.rss
urn:nasa:pds:context:instrument:rss.dif	2021-02-24	urn:nasa:pds:context:instrument:dif.rss
urn:nasa:pds:context:instrument:rss.go	2021-02-24	urn:nasa:pds:context:instrument:go.rss
urn:nasa:pds:context:instrument:rss.lro	2021-02-24	urn:nasa:pds:context:instrument:lro.rss
